"MasterKurs","Count","Start","Ende"
"- Kommunikationspolitik","2","20101","20101"
"- Marketingtheorie","1","20112","20112"
"ACC 350 International Accounting [engl. Exp.]","5","20111","20112"
"ACC 510 Jahresabschluss","3","20201","20221"
"ACC 511 Konzernrechnungslegung","3","20102","20162"
"ACC 520 IFRS Reporting and Capital Markets","2","20192","20192"
"ACC 531 Unternehmensbewertung","3","20112","20172"
"ACC 532 Financial Statement Analysis & Equity Valuation","4","20112","20191"
"ACC 540 Financial Statement Analysis & Equity Valuation","9","20201","20211"
"ACC 551 Controlling","2","20102","20111"
"ACC 552 Wertorientiertes Controlling in der Unternehmenspraxis","4","20102","20141"
"ACC 553 Controlling","14","20112","20142"
"ACC 554 Internationales Konzerncontrolling","8","20111","20151"
"ACC 571 Prüfungslehre und -praxis","1","20112","20112"
"ACC 574 Business Opportunities in the Clean Energy Transition","2","20191","20191"
"ACC 620 Accounting for Financial Instruments & Financial Institutions","1","20201","20201"
"ACC 625 Practical Aspects of M&A Processes","1","20102","20102"
"ACC 627 Fallstudien 'Beratung von Finanzdienstleistern'","3","20181","20191"
"ACC 630 Integriertes Controlling 1 - Planung und Budgetierung","4","20152","20182"
"ACC 631 Integriertes Controlling 2 - Reporting und Performancesteuerung","3","20151","20181"
"ACC 636 Fallstudien für das wertorientierte Risiko-Controlling und -Management im Bankbereich","1","20191","20191"
"ACC 653 Kostenmanagement und - analyse","11","20121","20151"
"ACC 670 Audit Theory","1","20192","20192"
"ACC 672 Corporate Governance Theorie","4","20112","20112"
"BI 651 International Course - Information Technology","1","20151","20151"
"BI 652 International Course - System Design and Development","1","20141","20141"
"BI 653 International Course - Enterprise Applications","5","20141","20161"
"BI 654 International Course - Data and Web Science","1","20161","20161"
"BI 654 Professional Content Management Systems","1","20112","20112"
"Burnout Präventation","4","20101","20111"
"Business Etikette - internationale Do's und Don'ts","5","20121","20121"
"Business Model Innovation","1","20122","20122"
"CC 501 Decision Analysis: Business Analytics II","117","20102","20192"
"CC 503 Empirical Methods: Business Analytics I","47","20102","20191"
"Core skills for young professionals","5","20112","20112"
"Corporate Social Responsibility","5","20102","20132"
"Corporate Strategy","1","20122","20122"
"CS 302 Praktische Informatik I","20","20102","20122"
"CS 307 Algorithmen und Datenstrukturen","31","20102","20182"
"CS 500 Advanced Software Engineering","1110","20102","20212"
"CS 530 Database Systems II","382","20102","20221"
"CS 540 Advanced Computer Networks","452","20101","20172"
"CS 550 Algorithmics","231","20111","20221"
"CS 560 Large-Scale Data Management","440","20161","20212"
"CS 600 Model Driven Development","196","20112","20212"
"CS 604 Resilient Networking","4","20112","20112"
"CS 605 GPU Programming","4","20202","20212"
"CS 610 Principles of Dependables Systems","1","20111","20111"
"CS 620 Design of Reliable Systems","3","20111","20111"
"CS 621 Logikprogrammierung","2","20122","20122"
"CS 631 Transaktionssysteme","6","20171","20171"
"CS 640 Multimedia Technology","33","20112","20161"
"CS 642 Image and Video Processing","19","20121","20161"
"CS 643 Embedded Systems for Industrial Applications","4","20112","20112"
"CS 644 Computer Graphics","24","20122","20171"
"CS 645 Computer Games","40","20131","20162"
"CS 646 Higher Level Computer Vision","25","20181","20211"
"CS 647 Image Processing","25","20172","20202"
"CS 649 Secure Programming","7","20162","20162"
"CS 650 Algorithmik II","1","20111","20111"
"CS 651 Cryptography II","30","20121","20212"
"CS 651 Kryptographie II","30","20121","20212"
"CS 652 Data Security","234","20181","20221"
"CS 653 Practical Applications of Cryptography","2","20161","20161"
"CS 654 Internet of Things Security","2","20202","20202"
"CS 655 Cryptography","19","20211","20221"
"CS 660 Compiler Construction","3","20212","20212"
"CS 661 Parallel Programming","2","20221","20221"
"CS 663 Information Retrieval and Web Search","3","20131","20131"
"CS 665 Selected Topics in IT-Security","9","20141","20151"
"CS 667 Computer Vision","17","20142","20162"
"CS 669 Design of Reliable and Dependable Systems","2","20171","20171"
"CS 701 Selected Topics in Algorithmics and Cryptography","1","20201","20201"
"CS 703 Data Analytics Seminar","4","20151","20151"
"CS 704 Master Seminar Artificial Intelligence","61","20161","20221"
"CS 705 Datenbankseminar","24","20142","20212"
"CS 706 Seminar","19","20141","20161"
"CS 707 Seminar Data and Web Science","79","20142","20212"
"CS 708 Seminar Software Engineering","126","20142","20221"
"CS 709 Seminar Text Analytics","70","20142","20212"
"CS 710 Seminar Selected Topics in Data Science","26","20172","20221"
"CS 711 Intelligent Software Infrastructures - Processes, Methods and Technologies","2","20152","20152"
"CS 714 Seminar","3","20162","20162"
"CS 715 Large-Scale Data Integration Seminar","27","20181","20212"
"CS 716 Seminar IT-Security","25","20172","20212"
"CS 717 Master Seminar on Computer Vision","7","20202","20211"
"CS 718 AI and Data Science in Fiction and Society","14","20192","20202"
"CS 719 Seminar on Process Analysis","16","20202","20221"
"CS 721 Seminar Data-Science I","4","20221","20221"
"Didaktik wirtschaftsethischen Argumentierens","2","20111","20111"
"Diversity Management","2","20112","20112"
"Dummy 1","189","20111","20221"
"Dummy 10","7","20202","20221"
"Dummy 2","133","20111","20221"
"Dummy 3","64","20111","20221"
"Dummy 4","26","20112","20211"
"Dummy 5","6","20131","20191"
"Dummy 6","3","20131","20172"
"Dummy 7","1","20172","20172"
"Dummy 8","1","20172","20172"
"Dummy 9","1","20172","20172"
"Durchsetzungsfähigkeit und Verhandlungstechnik - Beruflich und Privat erfolgreich kommunizieren","1","20122","20122"
"E-Government: Implikationen, Wirkungsweisen und E-Democracy","1","20102","20102"
"Entscheidungspsychologie","3","20102","20102"
"FIN 500 Investments","88","20111","20212"
"FIN 520 Bankbetriebslehre","9","20112","20182"
"FIN 540 Corporate Finance I - Lecture (Capital Structure, Cost of Capital and Valuation)","6","20122","20202"
"FIN 541 Corporate Finance I - Case Study (Capital Structure, Cost of Capital and Valuation)","2","20182","20182"
"FIN 560 Risikomanagement von Versicherungsunternehmen","3","20112","20201"
"FIN 561 Investmentmanagement von Versicherungsunternehmen","4","20121","20161"
"FIN 580 Derivatives I - Basic Strategies and Pricing","26","20111","20212"
"FIN 590 Financial Institutions I","2","20202","20211"
"FIN 601 Bond Markets","19","20111","20221"
"FIN 602 Trading and Exchanges","11","20122","20212"
"FIN 620 Behavioral Finance","3","20181","20211"
"FIN 630 Corporate Governance","6","20142","20212"
"FIN 660 Quantitatives Risikomanagement","5","20202","20221"
"FIN 682 International Asset Management","7","20181","20211"
"Finanzwirtschaft","1","20102","20102"
"Fit für den öffentlichen Auftritt","1","20102","20102"
"Great Presentation Now! A practical toolkit for effectiveness and confidence","4","20111","20111"
"IE 500 Data Mining I","923","20112","20221"
"IE 550 Knowledge Management: Principles and Technologies","468","20101","20171"
"IE 560 Decision Support","284","20142","20221"
"IE 630 Query Optimization","28","20132","20211"
"IE 650 Semantic Web Technologies","119","20102","20212"
"IE 660 Artificial Intelligence","28","20102","20132"
"IE 661 Text Analytics","300","20142","20212"
"IE 663 Information Retrieval and Web Search","157","20141","20221"
"IE 664 Process Mining","14","20151","20151"
"IE 670 Web Data Integration","159","20132","20212"
"IE 671 Web Mining","201","20131","20221"
"IE 672 Data Mining II","259","20141","20221"
"IE 673 Data Mining and Matrices","38","20142","20192"
"IE 674 Hot Topics in Machine Learning","41","20152","20212"
"IE 675 Machine Learning","26","20192","20212"
"IE 675b Machine Learning","17","20212","20212"
"IE 676 Network Analysis","49","20192","20212"
"IE 678 Deep Learning","4","20221","20221"
"IE 680 Human-Computer-Interaction: Fundamentals and Research Methods","10","20122","20142"
"IE 681 Interactive Multimedia Systems","1","20131","20131"
"IE 682 Enterprise Architecture Modeling","129","20151","20171"
"IE 683 Web Data Integration Project","78","20182","20212"
"IE 684 Web Mining Project","86","20201","20221"
"IE 689 Relational Learning","7","20182","20192"
"IE 690 Information Architecture","3","20132","20132"
"IE 691 Information Retrieval Project","52","20191","20221"
"IE 692 Advanced Process Mining","43","20211","20221"
"IE 694 Artificial Intelligence Applications in Industry","4","20221","20221"
"IE 704 Seminar AI Systems Engineering","11","20201","20221"
"Improvisationstraining","2","20112","20112"
"Interdisziplinäres Kulturmanagement","1","20122","20122"
"Interkulturelle Sensibilisierung","6","20102","20121"
"International Business Negotiations and Assertiveness - Getting results in business and life","10","20111","20111"
"International Course I","5","20121","20152"
"International Course II","1","20152","20152"
"International Course III","1","20152","20152"
"IS 203 Wirtschaftsinformatik III: Development and Management of Information Systems","15","20101","20112"
"IS 204 Wirtschaftsinformatik IV","15","20121","20131"
"IS 401 Integrated Information Systems","12","20111","20111"
"IS 500 E-Business and Electronic Markets","21","20132","20132"
"IS 510 Process Management","704","20101","20201"
"IS 511 Information Resource Management","287","20111","20161"
"IS 512 IT Management in the Digital Age","221","20171","20221"
"IS 513 Applied IT Management in the Digital Age","98","20162","20221"
"IS 514 Process Mining and Analytics","29","20201","20202"
"IS 515 Process Management & Analytics","26","20212","20221"
"IS 520 Advanced Middleware","20","20101","20111"
"IS 530 Component Based Systems","61","20101","20141"
"IS 540 Management of Enterprise Systems","656","20102","20212"
"IS 541 Theories and Methods in Information Systems","90","20121","20221"
"IS 551 Foundations of Data Management","16","20132","20132"
"IS 553 System Software","282","20132","20212"
"IS 556 Public Blockchains","2","20221","20221"
"IS 600 E-Government: Methoden, Technologien und Prozesse","11","20101","20111"
"IS 601 Cloud Computing: Technologies, Applications, Services and Implications","6","20111","20111"
"IS 602 Business Intelligence and Business Analytics Systems","472","20101","20202"
"IS 603 User Productivity","14","20101","20111"
"IS 604 Contemporary Issues in Enterprise Systems: Banking Enterprise Systems","59","20101","20141"
"IS 605 IT-Driven Government Modernization: International Case Studies","21","20121","20131"
"IS 606 Strategies for Electronic Commerce","6","20121","20131"
"IS 607 Digital Innovation","10","20202","20221"
"IS 610 Information Resource Management","15","20102","20102"
"IS 611 Case Studies in Information Systems","2","20112","20112"
"IS 612 Banking und IT-Management","4","20102","20102"
"IS 613 Applied Project in Design Thinking and Lean Software Development","220","20102","20212"
"IS 613 Applied Project in Enterprise Cloud Design and Development","221","20102","20212"
"IS 614 Corporate Knowledge Management","505","20112","20212"
"IS 615 - Enterprise Cloud Design and Development","412","20112","20212"
"IS 615 Design Thinking and Lean Development in Enterprise Software Development","412","20112","20212"
"IS 620 Distributed Virtual Environments","2","20102","20102"
"IS 621 Internet Technologies","5","20101","20111"
"IS 621 Self-Organizing and Adaptive Systems","28","20211","20211"
"IS 622 Mobile Computing","1","20101","20101"
"IS 622 Network Science","6","20221","20221"
"IS 624 Mobile Computing","21","20111","20112"
"IS 625 Pervasive Computing","283","20121","20201"
"IS 626 Distributed Virtual Environments","5","20121","20121"
"IS 627 Self-organizing Systems","122","20112","20192"
"IS 629 Agile Software Product Management and Design","432","20121","20221"
"IS 630 Machine Learning","19","20121","20141"
"IS 631 Component Data Management","2","20102","20102"
"IS 632 Supply Chain Management","148","20102","20141"
"IS 633 E-Commerce","45","20112","20122"
"IS 651 Behavioral Perspectives on E-Business","18","20142","20182"
"IS 666 E-Commerce","3","20101","20102"
"IS 702 Seminar E-Business & E-Government","3","20112","20122"
"IS 712 Seminar","181","20121","20221"
"IS 722 Seminar Trends in Distributed Systems","90","20121","20212"
"IS 732 Seminar","18","20122","20141"
"IS 742 Seminar Trends in Enterprise Systems","139","20121","20221"
"IS 751 E-Government Adoption","8","20142","20172"
"IS 752 Seminar on Process and Management Analytics","7","20202","20221"
"IS/MAN 500 Information Systems in Organizations","44","20131","20162"
"IS/MKT 500 E-Business and Electronic Markets","170","20102","20122"
"Kolloquium","1","20142","20142"
"Kommunikation und Mediation im internationalen Kontext","2","20102","20102"
"Konflikte-Chance oder /Risiko","1","20131","20131"
"Körpersprache","7","20111","20121"
"Kultinational - Leben und Arbeiten im interkulturellen Kontext","1","20102","20102"
"Kunst der Debatte","1","20132","20132"
"Kunst der Rede","1","20122","20122"
"Kwerkarriere (die Karriere-Mechanik, Alternativen, wie bringt es wer zur Elite)","3","20112","20121"
"Literature, Business and Economics","5","20102","20102"
"MAN 301 Strategic and International Management","8","20112","20122"
"MAN 356 Strategy and Innovation","1","20131","20131"
"MAN 401 Organization and Human Resources Management","10","20111","20121"
"MAN 500 Advanced Management Studies","1","20121","20121"
"MAN 611 Management öffentlicher Dienstleistungen","5","20102","20122"
"MAN 613 New Public Management","2","20111","20131"
"MAN 616 Branchenspezifische Herausforderungen im Nonprofit Management","2","20131","20141"
"MAN 621 Organisationsgestaltung","1","20101","20101"
"MAN 622 Verhalten in Organisationen","1","20101","20101"
"MAN 625 Organizational Structures Within and Between Firms","3","20131","20141"
"MAN 627 Organizational Design and Technology","43","20111","20131"
"MAN 628 Organizational Theory and Design","5","20112","20112"
"MAN 629 Organization for Innovation","33","20112","20142"
"MAN 630 Introduction to Entrepreneurship","135","20102","20212"
"MAN 631 Creativity and Entrepreneurship in Practice","54","20112","20212"
"MAN 632 Advanced Entrepreneurship","51","20121","20221"
"MAN 633 Entrepreneurial Spirit","87","20121","20221"
"MAN 635 Social Entrepreneurship: Targeting Social Capital through Ecopreneurship","20","20122","20212"
"MAN 636 International Entrepreneurship and Managing Change","18","20121","20211"
"MAN 640 HR Performance Management","3","20111","20112"
"MAN 641 Human Capital Management","4","20102","20112"
"MAN 642 International Human Resource Management & Employment Relations","2","20101","20121"
"MAN 644 Human Resource Training and Development","1","20211","20211"
"MAN 645 Leadership and Motivation","254","20122","20212"
"MAN 646 HR Analytics","27","20122","20212"
"MAN 647 Strategic and International Human Resource Management","63","20131","20221"
"MAN 648 Incentives and Performance","119","20131","20221"
"MAN 649 Human Resource Recruitment and Selection","2","20192","20212"
"MAN 650 International Management I","21","20102","20121"
"MAN 651 Strategic Management I","14","20102","20132"
"MAN 652 Strategic Management II","8","20121","20131"
"MAN 654 Corporate Restructuring","4","20161","20181"
"MAN 655  Corporate Strategy: Managing Business Groups","8","20141","20221"
"MAN 656 Mergers & Acquisitions","9","20142","20202"
"MAN 657 Global Strategic Management","27","20142","20202"
"MAN 660 CSR Video Documentaries","6","20171","20192"
"MAN 661 Startery University - Social Entrepreneurship Seminar","2","20171","20171"
"MAN 663 Digital Social Innovation Lab with SocEnt BW and SAP","3","20191","20192"
"MAN 664 Sustainability Games","1","20201","20201"
"MAN 667 Social Impact Measurement","1","20201","20201"
"MAN 672 Nonprofit Management","10","20122","20122"
"MAN 676 Ausgewählte Herausforderungen im Public Management","1","20191","20191"
"MAN 677 International Business Strategy","1","20132","20132"
"MAN 678 Strategy of Technological Oriented New Ventures","3","20132","20132"
"MAN 679 Eine wissenschaftliche Einführung in das Public und Nonprofit Management","4","20172","20182"
"MAN 685 Purpose & Strategic Corporate Social Responsibility","2","20221","20221"
"MAN 690 Innovation Management","62","20161","20221"
"MAN 691 Selected Topics in Organizational Behavior","11","20171","20221"
"MAN 693 Strategic Intellectual Property Management","3","20192","20212"
"MAN 770 Research seminar on Small and Medium Sized Companies and Entrepreneurship","1","20121","20121"
"Management","2","20111","20111"
"Marketing","5","20102","20112"
"Mindmapping","4","20102","20122"
"MKT 351 Marketing Management Decisions","6","20111","20122"
"MKT 352 Social Media Marketing","1","20131","20131"
"MKT 401 Marketing II","4","20111","20121"
"MKT 510 Price and Product Management","155","20102","20212"
"MKT 511 Marketing Analytics","69","20211","20221"
"MKT 520 Market Research","90","20131","20221"
"MKT 531 Marketing Theory","55","20112","20211"
"MKT 531 Marketing Theory: Consumer Behavior and Decision Making","60","20112","20221"
"MKT 532 Kommunikationsmanagement","8","20121","20131"
"MKT 540 Marketing Strategy","21","20102","20142"
"MKT 545 Customers, Markets and Firm Strategy","133","20141","20221"
"MKT 560 Services Marketing","27","20122","20202"
"MKT 570 Marketing of Innovations","2","20221","20221"
"MKT 580 Digital Marketing Strategy","21","20172","20212"
"MKT 611 Sales Management and Customer Relationship Management","33","20112","20191"
"MKT 612 Business-to-Business-Marketing","64","20112","20212"
"MKT 613 Verhandlungsführung","11","20202","20212"
"MKT 614 Marketing Communication","43","20141","20221"
"MKT 615 Sales Management","1","20211","20211"
"MKT 621 Global Marketing","22","20131","20171"
"MKT 622 Country Manager","24","20131","20191"
"MKT 623 Strategic Marketing Management Simulation","2","20192","20212"
"MKT 632 Value-Based Marketing","32","20122","20162"
"MKT 650 Marktorientierte Unternehmensführung","12","20121","20131"
"MKT 661 Consumer Behavior","45","20121","20221"
"MKT 662 Interactive Marketing","100","20121","20201"
"MKT 663 Branding and Brand Management","63","20132","20221"
"MKT 664 Brand Strategy Seminar","6","20202","20221"
"Mnemonik und Gedächtnistraining","9","20102","20131"
"MS 600 Kodierungstheorie","1","20121","20121"
"OPM 301 Operations Management","1","20111","20111"
"OPM 350 Production and Operations Management","2","20112","20112"
"OPM 501 Logistics Management","109","20102","20212"
"OPM 502 Inventory Management","71","20102","20212"
"OPM 502 Supply Chain Analytics: Inventory Management","71","20102","20212"
"OPM 503 Transportation I - Land Transport and Shipping","10","20121","20221"
"OPM 504 Transportation II: Air Transport","14","20112","20202"
"OPM 504 Transportation Management: Aviation","14","20112","20202"
"OPM 510 Sustainable Operations","1","20221","20221"
"OPM 540 Quantitative Methods in Operations Management","2","20102","20102"
"OPM 541 Produktionsmanagement","4","20102","20102"
"OPM 542 System Dynamics: Systemdenken und Systemsimulation","2","20102","20102"
"OPM 543 Procurement","4","20112","20141"
"OPM 544 Advanced Supply Chain Planning","9","20122","20192"
"OPM 545 Cases on Current Issues in Supply Chain Management","1","20171","20171"
"OPM 546 Innovation Management & Operations","2","20151","20182"
"OPM 561 Production Management: Lean Approaches and Variability","69","20112","20212"
"OPM 565 Integrierte Produktentwicklung","8","20131","20191"
"OPM 581 Service Operations Management","112","20122","20221"
"OPM 582 Case Studies in Service Operations Management","4","20152","20192"
"OPM 583 Decision-making with Limited Information","1","20161","20161"
"OPM 591 Strategic Procurement","2","20152","20201"
"OPM 599 Procurement Governance and Compliance","1","20161","20161"
"OPM 601 Supply Chain Management","34","20111","20211"
"OPM 661 Business Analytics: Robust Planning in Stochastic Systems","13","20121","20212"
"OPM 662 Business Analytics: Modeling and Optimization","8","20121","20201"
"OPM 682 Revenue Management","13","20161","20221"
"OPM 692 Strategic Sourcing","1","20151","20151"
"OPM 701 Research Seminar Supply Chain Management","1","20132","20132"
"Produktion","4","20102","20112"
"Project Management","3","20112","20112"
"Psychologie der Interaktion und Kommunikation","8","20102","20121"
"Rhetorik kompakt","1","20102","20102"
"Selbsterkenntnis und Selbstoptimierung","2","20112","20112"
"Selbstmanagement","3","20111","20111"
"Seminar","122","20102","20162"
"SM 441 Seminar","1","20112","20112"
"Social Skills: Business Etikette International Dos and Don´ts","2","20111","20111"
"Speedreading","1","20132","20132"
"SQ 500 Scientific Research","1069","20102","20221"
"TAX 350 International Taxation","5","20102","20112"
"TAX 510 Grundlagen der Besteuerung","5","20102","20182"
"TAX 520 Besteuerung der Unternehmen","4","20102","20202"
"TAX 521 Fallstudien zur Besteuerung der Unternehmen","3","20211","20211"
"TAX 530 Taxation of Businesses and Individuals","10","20102","20212"
"TAX 650 European Business Taxation","1","20131","20131"
"TAX 660 Tax Planning: The Role of Taxes for Business Decisions","1","20192","20192"
"Teamprojekt","1","20142","20142"
"Teamwork in the global context","5","20101","20101"
"Team² - durch Methoden für Kreativität und Innovation die Team-Effektivität steigern","1","20112","20112"
"TP 500 Team Project","1083","20102","20221"
"Ü Projektmanagement","7","20111","20122"
"Ü Teamfähigkeit? Konfliktfähigkeit?... Soziale Kompetenzen erwerben und weiterentwickeln","1","20121","20121"
"Unternehmensplanspiel","6","20101","20111"
"Verhandlungsseminar","1","20132","20132"
